Address,VAT_Status,Property_Description,condition on Property_Description,Size_Description,Price_Euro,Sale_Date,Year,Town
"55 The Willow, Allenwood",Yes,New Dwelling house /Apartment,0,,299559.49,30-Oct-20,2020,Allenwood
"Allenwood South, Allenwood",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,310000,19-Oct-10,2010,Allenwood
"RIVERVIEW, BLUETOWN, ALLENWOOD NTH",No,Second-Hand Dwelling house /Apartment,1,,57600,21-Jan-17,2017,Allenwood
"19 Whitethorn Park, Allenwood",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,114538,09-Aug-13,2013,Allenwood
"POWER STATION RD, ALLENWOOD, STATION RD",No,Second-Hand Dwelling house /Apartment,1,,180000,26-Jan-17,2017,Allenwood
"69 The Willows, Allenwood",Yes,New Dwelling house /Apartment,0,,295000,24-Jul-20,2020,Allenwood
"3 THE WILLOWS, ALLENWOOD, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,333000,10-Mar-20,2020,Allenwood
"ALLENWOOD CROSS, ALLENWOOD, COUNTY KILDARE",No,Second-Hand Dwelling house /Apartment,1,,77500,18-Jun-15,2015,Allenwood
"20 Whitethorn Park, Allenwood",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,184140.96,28-May-10,2010,Allenwood
"7 CUSHALLA, ALLENWOOD, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,240000,29-Jul-16,2016,Allenwood
"78 WOODLAWN, ALLENWOOD, CO KILDARE",No,Second-Hand Dwelling house /Apartment,1,,232500,19-Jan-16,2016,Allenwood
"16 The Willows, Allenwood",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,142725,22-Oct-13,2013,Allenwood
"4 School Walk, Whitethorn Park, Allenwood",Yes,New Dwelling house /Apartment,0,,260000,19-Dec-19,2019,Allenwood
"74 The Willows, Allenwood",Yes,New Dwelling house /Apartment,0,,244010.67,18-Dec-20,2020,Allenwood
"30 The Willows, Allenwood",Yes,New Dwelling house /Apartment,0,,305000,09-Mar-20,2020,Allenwood
"70 The Willows, Allenwood",Yes,New Dwelling house /Apartment,0,,260000,24-Jun-20,2020,Allenwood
"Cedar House, Allenwood",No,Second-Hand Dwelling house /Apartment,1,,345000,30-Aug-13,2013,Allenwood
"18 The Willows, Allenwood",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,149779.73,22-Jul-13,2013,Allenwood
"62 The Willows, Allenwood",Yes,New Dwelling house /Apartment,0,,273127,26-Jun-20,2020,Allenwood
"35 WOODLAWN, ALLENWOOD, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,260000,30-Nov-20,2020,Allenwood
"2 School Walk, Whitethorn Park, Allenwood",Yes,New Dwelling house /Apartment,0,,266474.67,19-Dec-19,2019,Allenwood
"57 The Willows, Allenwood",Yes,New Dwelling house /Apartment,0,,285000,02-Dec-20,2020,Allenwood
"31 THE WILLOWS, ALLENWOOD, KILDARE",Yes,New Dwelling house /Apartment,0,,273127.76,03-Jan-20,2020,Allenwood
"Bond House, Bond Bridge, Allenwood",No,Second-Hand Dwelling house /Apartment,1,,160000,25-May-11,2011,Allenwood
"13 The Willows, Allenwood, County Kildare",Yes,New Dwelling house /Apartment,0,greater than 125 sq metres,180000,19-Apr-13,2013,Allenwood
"19 The Willows, Allenwood, Co. Kildare",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,158590,13-Jun-14,2014,Allenwood
"27 The Willows, Allenwood",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,224669.6,17-Feb-16,2016,Allenwood
"14 The Willows, Allenwood, Kildare",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,151375,01-May-14,2014,Allenwood
"Sherford, Killinagh, Allenwood",No,Second-Hand Dwelling house /Apartment,1,,280000,22-Oct-13,2013,Allenwood
"DERRYMULLEN, ALLENWOOD, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,255000,16-Dec-19,2019,Allenwood
"66 The Willows, Allenwood",Yes,New Dwelling house /Apartment,0,,259911,30-Jul-20,2020,Allenwood
"3 School Walk, Whitethorn Park, Allenwood",Yes,New Dwelling house /Apartment,0,,260000,19-Dec-19,2019,Allenwood
"102 WOODLAWN, ALLENWOOD",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,181498,02-Nov-16,2016,Allenwood
"1 Eyrefield Lawns, Athgarvan",No,Second-Hand Dwelling house /Apartment,1,,448500,10-Sep-10,2010,Athgarvan
"THE WALL GARDEN, ATHGARVAN, CO KILDARE",No,Second-Hand Dwelling house /Apartment,1,,210000,08-Dec-15,2015,Athgarvan
"42 Whitethorn, Athgarvan, County Kildare",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,264274,15-Jul-15,2015,Athgarvan
"No 7 Whitethorn, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than 125 sq metres,237885.45,27-Nov-10,2010,Athgarvan
"58 Whitethorn, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,211454,20-Dec-12,2012,Athgarvan
"18 Whitethorn, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,273127.75,23-Dec-14,2014,Athgarvan
"ATHGARVAN, NEWBRIDGE, CO KILDARE",No,Second-Hand Dwelling house /Apartment,1,,555000,18-Dec-19,2019,Athgarvan
"8 Whitethorn, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,242290.74,19-Mar-15,2015,Athgarvan
"3  Liffey Mill Avenue, Athgarvan",No,Second-Hand Dwelling house /Apartment,1,,230000,06-Nov-15,2015,Athgarvan
"14 WALSHESTOWN MEADOWS, ATHGARVAN ROAD, WALSHESTOWN",Yes,New Dwelling house /Apartment,0,,409691.62,14-May-20,2020,Athgarvan
"45 Whitethorn, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,220219,20-Oct-14,2014,Athgarvan
"11 MILLFORD, ATHGARVAN, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,460000,25-Jan-19,2019,Athgarvan
"4 WHITETHORN AVENUE, ATHGARVAN, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,220000,21-Apr-16,2016,Athgarvan
"3 Whitethorn, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,262500,20-Sep-10,2010,Athgarvan
"39 Whitethorn, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,264273.12,05-Oct-15,2015,Athgarvan
"1288 CONNELLY VILL, CURRAGH RD, ATHGARVAN",No,Second-Hand Dwelling house /Apartment,1,,183000,03-Dec-18,2018,Athgarvan
"4 Whitethorn Avenue, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,180000,28-Feb-14,2014,Athgarvan
"22 THE OLD MILL RACE, ATHGARVAN, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,310000,13-Nov-15,2015,Athgarvan
"90 Kilbelin Abbey, Kilbelin Abbey, Athgarvan Road",Yes,New Dwelling house /Apartment,0,,307489,19-Dec-19,2019,Athgarvan
"1 Whitethorn Avenue, Athgarvan, Newbridgew",No,Second-Hand Dwelling house /Apartment,1,,175000,21-Dec-12,2012,Athgarvan
"5 ROSEMOUNT COURT, ATHGARVAN, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,340000,12-Feb-16,2016,Athgarvan
"46 Whitethorn, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,237841.4,17-Oct-14,2014,Athgarvan
"60 WHITETHORN, ATHGARVAN",No,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,289775,22-Mar-17,2017,Athgarvan
"APT 17 BLOCK 3 LIFFEY MILL, LIFFEY MILL ROAD  ATHGARVAN,",No,Second-Hand Dwelling house /Apartment,1,,180000,30-Nov-18,2018,Athgarvan
"5 MILLERS WEIR, ATHGARVAN, CO. KILDARE",No,Second-Hand Dwelling house /Apartment,1,,480000,26-Jun-15,2015,Athgarvan
"5 Walshestown Meadows, Athgarvan Road, Walshestown",Yes,New Dwelling house /Apartment,0,,409692,06-Mar-20,2020,Athgarvan
"30 Whitethorn, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than 125 sq metres,273127.75,15-Jul-16,2016,Athgarvan
"2919 MOUNTAIN VIEW, ATHGARVAN, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,114000,04-Dec-20,2020,Athgarvan
"9 MILLERS WEIR, ATHGARVAN, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,577000,04-Jun-14,2014,Athgarvan
"58 Whitethorn, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than 125 sq metres,255506.6,18-Jun-13,2013,Athgarvan
"446 Currage Road, Athgarvan",No,Second-Hand Dwelling house /Apartment,1,,155000,20-Dec-12,2012,Athgarvan
"No. 50 Whitethorn, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,206696.04,04-Jul-14,2014,Athgarvan
"Cois Na hAbhainn 11 Millers Weir, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than 125 sq metres,502202.64,03-Dec-15,2015,Athgarvan
"59 Old Mill Race, Athgarvan",No,Second-Hand Dwelling house /Apartment,1,,240000,09-Aug-13,2013,Athgarvan
"46 WHITETHORN, ATHGARVAN, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,360000,16-Oct-20,2020,Athgarvan
"56 Whitethorn, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,254185.02,10-Dec-12,2012,Athgarvan
"6 WHITETHORN AVENUE, ATHGARVAN",Yes,New Dwelling house /Apartment,0,,341411,04-Nov-20,2020,Athgarvan
"1283 Connolly Villas, Athgarvan",No,Second-Hand Dwelling house /Apartment,1,,170000,01-Nov-12,2012,Athgarvan
"5 whitethorn, Athgarvan, Kildare",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,176916,31-Oct-12,2012,Athgarvan
"21 Millford, Athgarvan",No,Second-Hand Dwelling house /Apartment,1,,200000,17-Dec-12,2012,Athgarvan
"60 Old Mill Race, Athgarvan",No,Second-Hand Dwelling house /Apartment,1,,287500,14-Oct-10,2010,Athgarvan
"Athgarvan, Walshestown, Curragh",No,Second-Hand Dwelling house /Apartment,1,,147000,29-Jan-15,2015,Athgarvan
"43 Whitethorn, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,237841.4,17-Apr-15,2015,Athgarvan
"2919 Mountain View, Athgarvan",No,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,72401.96,20-Sep-18,2018,Athgarvan
"54 Whitethorn, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,290000,10-Aug-12,2012,Athgarvan
"29 Whitethorn, Athgarvan, Co Kildare",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,273127,16-Sep-16,2016,Athgarvan
"20 Whitethorn, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than 125 sq metres,337778,07-May-15,2015,Athgarvan
"6 Walshestown Meadows, Athgarvin",Yes,New Dwelling house /Apartment,0,,409691,26-Jul-19,2019,Athgarvan
"3 whitethorn avenue, athgarvan",Yes,New Dwelling house /Apartment,0,less than 38 sq metres,250000,12-Oct-10,2010,Athgarvan
"81 Kilbelin Abbey, Kilbelin Abbey, Athgarvan Road",Yes,New Dwelling house /Apartment,0,,370044.05,23-Sep-20,2020,Athgarvan
"42 WHITETHORN, ATHGARVAN, COUNTY KILDARE",No,Second-Hand Dwelling house /Apartment,1,,365000,05-Nov-19,2019,Athgarvan
"26 Whitethorn, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,286343.61,19-Oct-16,2016,Athgarvan
"51 Whitethorn, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,202599.11,28-May-14,2014,Athgarvan
"1283 CONNOLLY VILLAS, ATHGARVAN, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,285000,17-Jan-19,2019,Athgarvan
"16 Whitethorn, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,273127.75,27-Jan-15,2015,Athgarvan
"LISSANE, 44 WALSHESTOWN ABBEY, ATHGARVAN",No,Second-Hand Dwelling house /Apartment,1,,470000,03-Dec-20,2020,Athgarvan
"No. 3 Forge Hill, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than 125 sq metres,489449.34,26-Mar-10,2010,Athgarvan
"18 Walshestown Meadows, Athgarvan Road, Walshestown",Yes,New Dwelling house /Apartment,0,,475770.92,18-Nov-20,2020,Athgarvan
"8 LIFFEY MILL ROAD, ATHGARVAN",No,Second-Hand Dwelling house /Apartment,1,,235000,17-Sep-10,2010,Athgarvan
"48  Whitethorn, Athgarvan, Kildare",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,235000,14-Aug-14,2014,Athgarvan
"52 Whitethorn, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than 125 sq metres,202600,16-May-14,2014,Athgarvan
"55 OLD MILL RACE, ATHGARVAN, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,322000,07-Sep-15,2015,Athgarvan
"41 Whitethorn, Athgarvan, Co Kildare",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,264273.12,24-Jul-15,2015,Athgarvan
"10 Whitethorn, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,204405.28,25-Oct-13,2013,Athgarvan
"1 Forge Hill, Athgarvan",Yes,New Dwelling house /Apartment,0,less than 38 sq metres,300000,15-Feb-12,2012,Athgarvan
"24 Whitethorn, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than 125 sq metres,361233.48,21-Jul-16,2016,Athgarvan
"17 Walshestown Meadows, Athgarvan",Yes,New Dwelling house /Apartment,0,,418502,23-Nov-20,2020,Athgarvan
"10 Walshestown Meadows, Athgarvan",Yes,New Dwelling house /Apartment,0,,471365.64,16-Dec-19,2019,Athgarvan
"12 Walshestown Meadows, Athgarvan Road, Walshestown",Yes,New Dwelling house /Apartment,0,,419500,07-Feb-20,2020,Athgarvan
"6 WHITETHORN, ATHGARVAN, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,325000,11-Dec-20,2020,Athgarvan
"7 Walshestown Meadows, Athgarvan Road, Walshestown",Yes,New Dwelling house /Apartment,0,,462555.06,17-Sep-19,2019,Athgarvan
"10 WHITETHORN, ATHGARVAN, CO KILDARE",No,Second-Hand Dwelling house /Apartment,1,,360000,23-Aug-18,2018,Athgarvan
"35 Whitethorn, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than 125 sq metres,273127.75,15-Dec-15,2015,Athgarvan
"5 Whitethorn Avenue, Athgarvan, Kildare",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,158590.3,20-Dec-13,2013,Athgarvan
"8 Liffey Mill Avenue, Athgarvan",No,Second-Hand Dwelling house /Apartment,1,,210000,12-Dec-14,2014,Athgarvan
"24 MILFORD, ATHGARVAN, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,395000,24-Jul-15,2015,Athgarvan
"36 Whitethorn, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than 125 sq metres,359950,05-May-16,2016,Athgarvan
"1238 Connelly Villas, Curragh Road, Athgarvan",No,Second-Hand Dwelling house /Apartment,1,,180000,16-Aug-10,2010,Athgarvan
"9 Whitethorn, Athgarvan, Co Kildare",No,Second-Hand Dwelling house /Apartment,1,,203304,08-Nov-13,2013,Athgarvan
"40 Whitethorn, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,264300,26-Aug-15,2015,Athgarvan
"13 Whitethorn, Athgarvan, Co. Kildare",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,196355,14-Mar-14,2014,Athgarvan
"14 Liffey Mill Road, Aathgarvan",No,Second-Hand Dwelling house /Apartment,1,,170000,14-Jun-13,2013,Athgarvan
"22 Whitethorn, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,339000,23-Dec-15,2015,Athgarvan
"34 Whitethorn, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than 125 sq metres,273127.75,26-Feb-16,2016,Athgarvan
"1 Whitethorn, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,174449.33,11-Sep-13,2013,Athgarvan
"5 LIFFEY MILL AVE, ATHGARVAN, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,245000,30-Apr-19,2019,Athgarvan
"38 Whitethorn, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,310000,11-Dec-15,2015,Athgarvan
"16 LIFFEY MILL AVE, ATHGARVAN, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,192000,07-Aug-14,2014,Athgarvan
"12 WHITETHORN ATHGARVAN, KILDARE",Yes,New Dwelling house /Apartment,0,less than 38 sq metres,203303.96,21-Feb-14,2014,Athgarvan
"1 Old Mill Race, Athgarvan",No,Second-Hand Dwelling house /Apartment,1,,246000,07-Aug-12,2012,Athgarvan
"2 Whitethorn Avenue, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than 125 sq metres,215859.02,26-Nov-10,2010,Athgarvan
"27 Whitethorn, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,273128,07-Dec-16,2016,Athgarvan
"4 Liffey Mill Road, Athgarvan",No,Second-Hand Dwelling house /Apartment,1,,235000,22-Nov-12,2012,Athgarvan
"47 Whitethorn, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,237841.4,30-Sep-14,2014,Athgarvan
"11 Whitethorn, Athgarvan  Co. Kildare",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,192952,29-Nov-13,2013,Athgarvan
"APT 21 LIFFEY MILL, ATHGARVAN, NEW BRIDGE",No,Second-Hand Dwelling house /Apartment,1,,195000,07-Dec-18,2018,Athgarvan
"51 WHITETHORN, ATHGARVAN, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,365000,15-Dec-20,2020,Athgarvan
"19 LIFFEY MILL AVE, ATHGARVAN, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,234000,27-Nov-19,2019,Athgarvan
"11 Walshestown Meadows, Athgarvan Road, Walshestown",Yes,New Dwelling house /Apartment,0,,475770,13-Dec-19,2019,Athgarvan
"49 Whitethorn, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,215859.03,09-Jul-14,2014,Athgarvan
"4 Whitethorn Avenue, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,240088.1,30-Sep-10,2010,Athgarvan
"14 Whitethorn, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,193788.56,24-Mar-14,2014,Athgarvan
"24 LIFFEY MILL RD, ATHGARVAN, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,140000,13-Dec-19,2019,Athgarvan
"33 Whitethorn, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,282643,28-Jun-16,2016,Athgarvan
"37 Whitethorn, Athgarvan",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,273127.77,06-Nov-15,2015,Athgarvan
"9 OAK LAWN, GRAYSLAND, ATHY",No,Second-Hand Dwelling house /Apartment,1,,155000,22-Mar-17,2017,Athy
"1077 BALLYROE, GRANGEMELLON, ATHY",No,Second-Hand Dwelling house /Apartment,1,,120000,20-Dec-18,2018,Athy
"2 McDonnell Drive, Athy",No,Second-Hand Dwelling house /Apartment,1,,55000,24-Sep-13,2013,Athy
"29 Branswood, Athy",No,Second-Hand Dwelling house /Apartment,1,,77860,22-Dec-14,2014,Athy
"27 ARDREW HEIGHTS, DUN BRINN, ATHY",No,Second-Hand Dwelling house /Apartment,1,,130000,04-Sep-19,2019,Athy
"CLONLEA HOUSE, GERALDINE  KILDARE ROAD, ATHY",No,Second-Hand Dwelling house /Apartment,1,,210000,02-Oct-15,2015,Athy
"WOLFHILL, ATHY, CO KILDARE",No,Second-Hand Dwelling house /Apartment,1,,98000,17-Dec-14,2014,Athy
"39/40 Duke Street, Athy",No,Second-Hand Dwelling house /Apartment,1,,145000,25-Oct-12,2012,Athy
"26 LEINSTER ST, ATHY, CO KILDARE",No,Second-Hand Dwelling house /Apartment,1,,30000,24-Oct-18,2018,Athy
"CASA MARIA, JANEVILLE, ATHY",No,Second-Hand Dwelling house /Apartment,1,,30000,23-Dec-14,2014,Athy
"78 RATHSTEVARD, CRESCENT, ATHY",No,Second-Hand Dwelling house /Apartment,1,,180000,17-Jul-19,2019,Athy
